review_priority_rank,区名,population_change_pct,elderly_share_2026_pct,elderly_change_pct,community_bus_stop_count,community_bus_route_count,community_bus_events_per_1000,potential_need_index,community_bus_supply_index,mismatch_index
1,西区,-6.245539636900661,31.36712235945317,11.811851061827536,147,21,13.213184144179028,0.49065031101273765,-1.3337884749633555,1.824438785976093
2,北区,-5.822371916596208,33.137427087063806,2.669058077852594,100,8,24.519351056471038,0.08669831464915534,-1.3728012532860374,1.4594995679351928
3,垂水区,-6.189195530927928,31.21320275522377,-0.6354699415061403,194,19,35.31092469311579,0.40833765616968654,-0.5035134650441165,0.9118511212138031
4,東灘区,-2.105341779597324,26.083058743866445,5.309973045822102,175,15,36.007381727839324,-0.06659265878127446,-0.642333776623934,0.5757411178426595
5,長田区,-4.001017811704834,32.219383157158155,-6.822223584963513,120,13,79.75063348848057,0.30670019316568403,0.8034613864228852,-0.4967611932572012
6,兵庫区,2.163577796636462,26.04101538076779,-6.8768365912865725,111,14,71.75012058093213,-0.5580800380500561,0.2314326082276711,-0.7895126462777272
7,須磨区,-5.2819326141037655,33.47524512532994,-0.49839384795093933,252,23,81.64294556481985,0.6032267694830896,1.416536568494711,-0.8133097990116215
8,中央区,4.564109666931528,22.988008923591746,1.5053101431429892,153,16,73.92638036809817,-0.7454523154431747,0.3852152427377203,-1.130667558180895
9,灘区,-0.5577719232216786,25.715129173636917,-0.30227439471753487,159,13,97.67691830231097,-0.5254882322058502,1.0157911640344564,-1.5412793962403066
