stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code,区名
S280100059600100,高尾台,34.6567849820185,135.119133206888,Z006630,0,,,,,,,１,須磨区
S280100059700100,名谷公園前,34.6824239892221,135.091357338165,Z006260,0,,,,,,,１,須磨区
S280100059700200,名谷公園前,34.6830228728773,135.090801821093,Z006260,0,,,,,,,２,須磨区
S280100059800100,北落合３丁目,34.6846112158077,135.089204711167,Z006270,0,,,,,,,１,須磨区
S280100059800200,北落合３丁目,34.685348970972,135.088440876223,Z006270,0,,,,,,,２,須磨区
S280100059900100,神の谷小学校前,34.6880830162716,135.086600713421,Z006280,0,,,,,,,１,須磨区
S280100059900200,神の谷小学校前,34.6882479256383,135.086392394903,Z006280,0,,,,,,,２,須磨区
S280100060000100,神の谷７丁目,34.6893588822104,135.083753709471,Z006290,0,,,,,,,１,須磨区
S280100060000200,神の谷７丁目,34.689072451434,135.083302363382,Z006290,0,,,,,,,２,須磨区
S280100060100100,神の谷５丁目,34.6866508227696,135.081149806906,Z006300,0,,,,,,,１,須磨区
S280100060100200,神の谷５丁目,34.6862689243492,135.08156644368,Z006300,0,,,,,,,２,須磨区
S280100060200100,西落合中学校前,34.6849149237615,135.08326770602,Z006310,0,,,,,,,１,須磨区
S280100060200200,西落合中学校前,34.6844288748434,135.084066255061,Z006310,0,,,,,,,２,須磨区
S280100060300100,神戸医療センター前,34.681026492347,135.08576754545,Z006320,0,,,,,,,１,須磨区
S280100060300200,神戸医療センター前,34.6817729372241,135.08569809688,Z006320,0,,,,,,,２,須磨区
S280100060400100,神戸医療センター下,34.6796204093688,135.086600827869,Z006330,0,,,,,,,１,須磨区
S280100060400200,神戸医療センター下,34.6797592835176,135.086635545348,Z006330,0,,,,,,,２,須磨区
S280100060500100,西落合住宅前,34.6823631462533,135.085420334435,Z006340,0,,,,,,,１,須磨区
S280100060600100,花谷小学校前,34.6812263749472,135.101148189082,Z006350,0,,,,,,,１,須磨区
S280100060600200,花谷小学校前,34.6810788208218,135.101078752721,Z006350,0,,,,,,,２,須磨区
